Cell	Cluster	CellType	NumofReads
SRR5354320	4	CMP	12132
SRR5354321	4	CMP	18872
SRR5354322	4	CMP	164290
SRR5354323	4	CMP	23806
SRR5354324	1	CMP	199002
SRR5354325	4	CMP	15136
SRR5354326	4	CMP	41914
SRR5354327	4	CMP	120954
SRR5354328	4	CMP	55884
SRR5354329	4	CMP	436618
SRR5354330	1	CMP	42926
SRR5354331	4	CMP	21090
SRR5354333	1	CMP	123788
SRR5354334	4	CMP	18122
SRR5354335	1	CMP	82586
SRR5354336	4	CMP	222334
SRR5354337	4	CMP	21480
SRR5354338	1	CMP	6522
SRR5354339	1	CMP	24556
SRR5354341	4	CMP	12318
SRR5354342	4	CMP	13994
SRR5354343	4	CMP	12836
SRR5354344	1	CMP	206268
SRR5354345	4	CMP	10420
SRR5354346	4	CMP	21920
SRR5354347	4	CMP	59076
SRR5354348	3	CMP	29818
SRR5354349	4	CMP	6020
SRR5354350	4	CMP	32918
SRR5354351	4	CMP	64640
SRR5354352	4	CMP	11192
SRR5354353	1	CMP	15610
SRR5354355	4	CMP	38910
SRR5354356	4	CMP	50760
SRR5354357	4	CMP	53050
SRR5354358	1	CMP	190726
SRR5354360	4	CMP	6984
SRR5354361	4	CMP	24210
SRR5354362	4	CMP	8752
SRR5354363	1	CMP	264458
SRR5354364	4	CMP	49786
SRR5354366	4	CMP	39168
SRR5354367	4	CMP	54796
SRR5354368	1	CMP	93626
SRR5354369	4	CMP	28782
SRR5354370	1	CMP	151534
SRR5354371	1	CMP	23230
SRR5354372	1	CMP	18332
SRR5354373	4	CMP	54664
SRR5354374	4	CMP	32800
SRR5354375	4	CMP	53932
SRR5354376	4	CMP	63276
SRR5354377	4	CMP	65024
SRR5354378	4	CMP	6292
SRR5354379	4	CMP	10600
SRR5354380	4	CMP	47752
SRR5354381	4	CMP	7286
SRR5354382	1	CMP	16034
SRR5354383	4	CMP	7480
SRR5354384	4	CMP	567926
